text30442;"""Morning in the countryside and morning in stuffy Tokyo are totally different."""
text30740;"""Ryunosuke-san, she's not one of your agents to even be at risk!"""
text30741;"""That doesn't change anything."""
text30742;"""I sighed heavily and thought about it."""
text30743;"""Telling him everything here and now meant acknowledging him as an ally."""
text30744;"""Trusting a person that I had considered an enemy just a minute ago."""
text30745;"""Yeah, it didn't seem like he had much choice now — no matter what, he had to reconcile with the fact that Himitsu had chosen me."""
text30746;"""However, he had shown more than once that he was ready to do anything to achieve his goals."""
text30747;"""And what will I get in return? Will you protect me? From the Russians, the Corporation?"""
text30748;"""The Corporation is no threat to you, and I don't know the Russians' intentions."""
text30749;"""Yeah, right!"""
text30750;"""He managed to lie twice in a short sentence without batting an eye."""
text30751;"""I want to be clear about one thing right away: Ryunosuke-san, are we on the same side now?"""
text30752;"""He took his time to answer my question."""
text30753;"""I am on Himitsu's side. So, as long as she is on yours…"""
text30754;"""It's hard to believe you when you talk like that."""
text30755;"""You don't have to believe me. The more soberly you view this situation, the better. So, what do you know?"""
text30756;"""My whole body tensed up — something inside me, maybe my sixth sense, wouldn't let me tell him the entire truth."""
text30757;"""The Russians have contacted me several times and demanded… asked for some papers, documents, information about my father's work."""
text30758;"""But I know nothing about it! I've already told you this — and I told them!"""
text30759;"""Sorry, but I'm not ready to believe that the KGB are complete idiots — if they contacted you, they must've had their reasons."""
text30760;"""Reasons!"""
text30761;"""I rolled my eyes."""
text30762;"""Looks like all of you, no matter the country, think that me being Russian is enough of a reason!"""
text30763;"""That does, certainly, play a certain role…"""
text30764;"""Whatever my father was doing, I know nothing about it!"""
text30765;"""I was listening to my own voice as if from outside myself — it was fervent and confident, even though I was lying."""
text30766;"""Perhaps Ryunosuke-san knew about these <i>ballistic missiles</i>, but so far it was the only piece of information I could latch on to."""
text30767;"""Perhaps the only one that could save my life in the future."""
text30768;"""There was still the question of Irina, who would be waiting for my call."""
text30769;"""I was jumping into these spy games head on again, forgetting about Himitsu."""
text30770;"""So, what will happen… to us?"""
text30771;"""After finishing his cigarette, Ryunosuke-san wanted to drop the roach on the ground, then remembered something and fearfully, like a child, cast a glance at the house and put it out with his fingers."""
text30772;"""And there was something so simple and understandable about the way he did it…"""
text30773;"""I didn't just fear Himitsu's father, I also respected him."""
text30774;"""But he wasn't omnipotent — there were some questions he too had no answers for."""
text30775;"""There were situations that could confuse him and things that could scare him."""
text30776;"""So could he protect us?"""
text30777;"""After all, the most important thing for me now was to be with Himitsu…"""
text30778;"""No matter where — in Tokyo, surrounded by KGB spies and the Corporation's agents, or here, drowning in the boredom and monotony of a Japanese village."""
text30779;"""I imagine Himitsu would prefer to go home."""
text30780;"""Yes, but…"""
text30781;"""Or do you not want to return to Tokyo for some reason?"""
text30782;"""His face became emotionless again — the professional expression of an experienced intelligence officer."""
text30783;"""May I talk to Himitsu about it first?"""
text30784;"""I decided to avoid giving a straight answer."""
text30785;"""Of course."""
text30786;"""Ryunosuke-san responded coldly and returned to the house."""
text30787;"""Before I came up with the proper words, Himitsu appeared on the doorstep."""
text30788;"""Niko-kun, what's the matter?"""
text30789;"""Let's talk somewhere else."""
text30790;"""We walked some thirty meters away from the house."""
text30791;"""Niko-kun?"""
text30792;"""She was blinking at me in surprise."""
text30793;"""Your father is offering to return us to Tokyo."""
text30794;"""That's great, isn't it?"""
text30795;"""Yeah, great… On the one hand."""
text30796;"""But people might be waiting for me there who I don't want to meet. And now these people might be waiting for you too."""
text30797;"""Himitsu gave it a minute of thought, but then said confidently:"""
text30798;"""Dad will protect us!"""
text30799;"""I don't want to say anything bad about your father…"""
text30800;"""Maybe I should've though — just a couple hours ago he was more or less threatening to kill me."""
text30801;"""But he also has his limits."""
text30802;"""Then what are we supposed to do?"""
text30803;"""That's a good question… What were you going to do here alone?"""
text30804;"""Well… I hadn't really thought about that…"""
text30805;"""Himitsu lowered her eyes and blushed."""
text30806;"""What do you mean \""you hadn't thought about it\""?"""
text30807;"""I thought that sooner or later things would sort themselves out."""
text30808;"""Are you serious?!"""
text30809;"""I exclaimed."""
text30810;"""Naturally, I'd never suspected Himitsu to be an outstanding strategist, but to be so passive and apathetic about her own fate was too much even for her."""
text30811;"""I was just very angry with you!"""
text30812;"""She pouted and half-turned from me."""
text30813;"""Blessed innocence!"""
text30814;"""I said in Russian; she looked at me, puzzled, but I said abruptly:"""
text30815;"""Never mind."""
text30816;"""So then, I couldn't count on Himitsu."""
text30817;"""My only hope was that Ryunosuke-san would do everything he could to protect his daughter."""
text30818;"""And as for me… <w>I could only rely on myself."""
text30819;"""And deal with problems as they came."""
text30820;"""You're such a fool of mine!"""
text30821;"""I pulled Himitsu closer, grabbed her by the waist, and kissed her."""
text30822;"""Niko-kun…"""
text30823;"""She tried to push me away — weakly, more for the sake of decency."""
text30824;"""Don't worry, nobody's watching."""
text30825;"""Well, Tokyo it is then…"""
text30826;"""I sighed."""
text30827;"""Packing up didn't take much time — it was obvious that Himitsu wasn't really planning to stay long, as she had only taken a few personal belongings with her."""
text30828;"""Perhaps I had overreacted, and it would've been better to just wait until she calmed down and forced her father to return home?"""
text30829;"""No, screw those thoughts!"""
text30830;"""I did everything right! <w>I did exactly what I should've done the only way it could've been done!"""
text30831;"""I guess, in all my actions and particularly my thoughts, you could see a clear tendency for a kind of martyrdom."""
text30832;"""Unconsciously I was expecting myself to fail and get nailed to the cross by Ryunosuke-san, suffering in the name of love."""
text30833;"""And again there was that spiritual simulacrum, the \""Higher\"" feeling that was condescendingly laughing at everything mundane, worldly."""
text30834;"""To put it simply, I was positive that Himitsu would've been happier to know that I was alive but without her, rather than dead for her sake."""
text30835;"""Besides, I managed to cadge a couple of nikumans from her grandmother…"""
text30836;"""We were going back to Tokyo, the provincial town having disappeared into the distance."""
text30837;"""The roadway went parallel to the railway, and I noted once again how strikingly different were the views from the car's and the train's windows."""
text30838;"""Now, the trees on the roadside appeared as an impenetrable barrier hiding some sort of treasure."""
text30839;"""I couldn't see the mountains behind them, and it felt like we were in some kind of lowland, a swamp."""
text30840;"""Himitsu put her head on my shoulder and fell asleep."""
text30841;"""Occasionally I would catch Ryunosuke-san's angry glances in the rearview mirror and smile apologetically in return."""
text30842;"""His hands nervously fidgeted on the wheel — the experienced intelligence (or \""counterintelligence\"" might be the correct term, I guess?) officer wasn't even trying to hide his opinion on the situation."""
text30843;"""I wondered what was making him more mad: the fact that Himitsu was snuggling up to me so openly, without holding back, or that she was doing so in front of her own father?"""
text30844;"""Who was just presented with the facts of the situation and couldn't offer any objection."""
text30845;"""…"""
text30846;"""When we reached the house it was already dark."""
text30847;"""Himitsu barely managed to open her eyes and get out of the car."""
text30848;"""She answered Ryunosuke-san's silent question:"""
text30849;"""I need to cook something for Niko-kun."""
text30850;"""It felt like the sigh that followed, seemingly to containing all his fatherly disappointment and irritation, could be heard by the entire neighborhood."""
text30851;"""I took out my keys and gave them to her."""
text30852;"""I'll be right there."""
text30853;"""Himitsu decided not to argue and left us alone."""
text30854;"""Ryunosuke-san…"""
text30855;"""I suddenly felt a desire to call him <note=note108>otou-san</note>, my face screwing up from barely contained laughter."""
text30856;"""What about school?"""
text30857;"""I'll handle it."""
text30858;"""It's surprisingly easy for you to change your daughter's schools multiple times a week."""
text30859;"""That's not what's important now."""
text30860;"""But not for Himitsu."""
text30861;"""He sighed again, this time rather wearily."""
text30862;"""Nikolai, remember: you must tell me everything…"""
text30863;"""Ryunosuke-san looked around and quickly strummed his fingers on the dash."""
text30864;"""Everything that happens. About all contact with the KGB and other suspicious individuals."""
text30865;"""Suspicious individuals? Like who, for example?"""
text30866;"""For example… You get me, stop pretending to be an idiot!"""
text30867;"""Not that I really did get him, but I could guess."""
text30868;"""You know, I look at you and I fail to understand what happened to you this past year…"""
text30869;"""Your parents… I understand. Yes, it's a tragedy, especially for a child. Yes, you were left alone. But usually, this makes people close up, hold a grudge against the entire world."""
text30870;"""While you…"""
text30871;"""He sighed again, apparently indicating that our conversation was over."""
text30872;"""…"""
text30873;"""Himitsu was making dinner and — too cheerfully, I thought — humming some pop tune."""
text30874;"""It was as if nothing had happened at all for her, as if this was a normal evening."""
text30875;"""I was sitting in front of the TV set, not paying much attention to what it was showing, сhewing on a toothpick I'd found somewhere, and occasionally throwing glances at my <i>new</i> girlfriend."""
text30876;"""Ryunosuke-san told me that he'll handle everything about school. I guess Saya-chan will be happy."""
text30877;"""Yes."""
text30878;"""She replied briefly, keeping her eyes on the cutting board."""
text30879;"""Are you happy?"""
text30880;"""Of course!"""
text30881;"""Good then."""
text30882;"""I didn't want to start a serious discussion with Himitsu right now."""
text30883;"""It would take some time for her emotions to settle down."""
text30884;"""And I needed a breather to think everything through carefully."""
text30885;"""Your grandma's house is nostalgiс… When was I there last? Seven, eight years ago?"""
text30886;"""I guess so."""
text30887;"""It feels like nothing's changed."""
text30888;"""Well, nothing really has."""
text30889;"""I guess grandmas are the same everywhere."""
text30890;"""…"""
text30891;"""Although I don't remember my grandparents that well — I was too little. Of course, mom's parents were at the funeral."""
text30892;"""Niko-kun…"""
text30893;"""She stopped cutting things."""
text30894;"""Don't worry, I'm alright. You remember them, right?"""
text30895;"""I smiled."""
text30896;"""Yes."""
text30897;"""So, well…"""
text30898;"""The conversation took a wrong turn."""
text30899;"""…"""
