text39478;"""Niko-san, wake up…"""
text39797;"""At the same time, she couldn't expect a fair trial — Kobayashi Jun most likely wouldn't just hand Iwamura over to the police."""
text39798;"""Besides, she was, most likely, correct — Ellie wouldn't keep her mouth shut."""
text39799;"""And why would I believe her at all?"""
text39800;"""Right now she'd say anything to have me free her, but she could easily change her opinion once she was safe."""
text39801;"""Someone in a situation as extreme as this wasn't going to think too deeply about what they saw."""
text39802;"""I was with Kagome, her kidnapper — so I was guilty, too."""
text39803;"""Nick, please…"""
text39804;"""Ellie pleaded."""
text39805;"""I can't stop you, even if I wanted to."""
text39806;"""Kagome showed me her empty hands."""
text39807;"""Deciding someone else's fate was the role I was least suited for."""
text39808;"""I was angry at Kagome for dragging me into this situation, one way or another."""
text39809;"""I was angry at myself for not being more cautious."""
text39810;"""Even at Ellie — for the same thing as me."""
text39811;"""Deep inside, there was a cowardly wish to run away — let Kagome deal with her problems herself, without involving me!"""
text39812;"""Well, Niko-san?"""
text39813;"""Nick, please!"""
text39814;"""But I was there — and I had to make a choice."""
text39815;"""Free Ellie"""
text39816;"""Follow Kagome's advice"""
text39817;"""My heart bled for Ellie — I had to stop this madness!"""
text39818;"""With an effort, I walked to Ellie and untied her."""
text39819;"""Kagome sighed in disappointment and took a step back."""
text39820;"""I helped Ellie stand up; there was gratitude in her eyes, but, at the same time — stubbornness and determination."""
text39821;"""I've got to… I…"""
text39822;"""She was mumbling as if she'd just woken up."""
text39823;"""I let her go, and the girl, bumping into crates and shelves, fumbled towards the exit."""
text39824;"""Wait…"""
text39825;"""I said, rather for the sake of formality than really trying to stop her."""
text39826;"""Well, are you satisfied?"""
text39827;"""Kagome wrapped her arms around herself and looked like someone who had just been informed that the stock markets across the world had crashed."""
text39828;"""You must be out of your mind! I couldn't do anything other than this, no matter what!"""
text39829;"""You should have known when… When you let me follow you."""
text39830;"""You're just trying to find someone to blame."""
text39831;"""Me?!"""
text39832;"""My cry bounced back to me with a muffled echo under the ceiling of the warehouse."""
text39833;"""Was it me who kidnapped Ellie?! Did I bring you here and force you to make a choice?!"""
text39834;"""If you decide to commit a crime, at least keep other people out of it!"""
text39835;"""And all that matters to you is that you keep your hands clean!"""
text39836;"""What matters most to me is to stay alive."""
text39837;"""Then you shouldn't have let her go."""
text39838;"""I was already starting to realize that Kagome was right, in a way."""
text39839;"""Even if by some miracle Ellie would keep quiet about seeing me here, it's my place they would come to for Iwamura."""
text39840;"""I didn't know whether I'd really handed her a death sentence, but I harbored no doubt that <i>our</i> life would never be the same."""
text39841;"""You should probably leave my place."""
text39842;"""…"""
text39843;"""She pursed her lips and frowned."""
text39844;"""I'm not kicking you out, but you must realize that after this…"""
text39845;"""Why, Niko-san, finish it — hand me over to Kobayashi Corporation. You might even receive a bounty!"""
text39846;"""Oh, come on!"""
text39847;"""I waved my hand and on reflex took several steps towards the exit."""
text39848;"""I suddenly felt unbearable to be there, next to her, as if I really was to blame for something."""
text39849;"""Shame was driving me away from that damn warehouse, buried in darkness and forgotten."""
text39850;"""It seemed that if I stayed here even a minute longer, I'd vanish into that sinister blackness, where only the creatures of dark lived, alien to everything human."""
text39851;"""I leapt out onto the street, breathless and desperately gasping for the cool night air."""
text39852;"""Ellie was nowhere to be seen."""
text39853;"""Could she find the road herself without getting lost in this industrial R'lyeh?"""
text39854;"""Anyway, it was no longer my problem."""
text39855;"""Least of all in the world I liked regretting anything, but at this moment I wished I could change my decision."""
text39856;"""No, not to leave Ellie tied up, but maybe at least pause and think about it."""
text39857;"""The modern world demands instant decisions and action, but, at the same time, it doesn't tolerate mistakes and has no pity for those who make them."""
text39858;"""And sometimes the best strategy is to take no action at all."""
text39859;"""If both options lead to greater evil, is it right to look for the most acceptable among them?"""
text39860;"""\""Don't resist evil with violence\"" — came to my mind, something I read in a book."""
text39861;"""Of course, by letting Ellie go, I'd committed no direct violence, but left the room for others to do in the future."""
text39862;"""Kagome left the warehouse after a short while and stopped next to me."""
text39863;"""What are you planning to do next?"""
text39864;"""What am I supposed to do? I'm innocent!"""
text39865;"""I snapped at her, despite my internal agony."""
text39866;"""The need to justify myself, to make myself to be right at any cost turned out to be stronger."""
text39867;"""You don't get to judge that now, Niko-san."""
text39868;"""What are <i>you</i>going to do?"""
text39869;"""To be honest, I wasn't prepared for this to happen."""
text39870;"""She suddenly smiled."""
text39871;"""What do you mean?"""
text39872;"""I thought you'd properly asses the situation, not play the knight in shining armor."""
text39873;"""I couldn't help but think that Kagome sounded sensible and did not at all resemble a maniac."""
text39874;"""Yet kidnapping Ellie couldn't be called a sensible action of a normal person."""
text39875;"""Then who were you playing? James Bond or Professor Moriarty?"""
text39876;"""Niko-san, do you have any money?"""
text39877;"""She abruptly changed the subject."""
text39878;"""No, I forgot my wallet at home, why?"""
text39879;"""The trains aren't running anymore, we'll have to call a taxi."""
text39880;"""Kagome responded innocently."""
text39881;"""The situation seemed laughably stupid: I ought to be showing my indignation, scolding Kagome, and cutting all ties with her, but at the same time I had to accept her help to get back home."""
text39882;"""I had to go home with her, because it was her home, too (at least, temporarily)."""
text39883;"""I suddenly and sharply understood all the difficulties of life in a communal apartment."""
text39884;"""I'm forced to agree…"""
text39885;"""However disgusted I felt, I didn't want to stay outside in the cold until the trains would start running again."""
text39886;"""What about Ellie?"""
text39887;"""But considering how vast the industrial district was, I had no chance to find her even if I tried."""
text39888;"""I only had to hope that she'd find her own way out…"""
text39889;"""Or not. <w>But that thought was making me sick, as if I took a bitter pill."""
text39890;"""It's all so wrong that I don't have the words to describe it.."""
text39891;"""I'm not making you — you could walk. The night seems beautiful to me."""
text39892;"""Let's go already."""
text39893;"""I sighed heavily and started walking away from the crime scene."""
text39894;"""Niko-san?"""
text39895;"""Kagome called out to me carefully."""
text39896;"""What now?"""
text39897;"""Not that way."""
text39898;"""…"""
text39899;"""…"""
text39900;"""We sat in the taxi without saying a word, not looking at each other."""
text39901;"""I could physically feel that our relationship changed, just like weather before a summer rain — suddenly and swiftly."""
text39902;"""And the pressure of the unknown that lay ahead was getting stronger and stronger."""
text39903;"""We left the car near my house, I waited for Kagome to pay the driver, not feeling at all happy to be home again."""
text39904;"""I guess because I didn't feel safe anywhere, and especially here."""
text39905;"""Do you think Ellie found her way back?"""
text39906;"""You don't have to doubt that."""
text39907;"""Why are you so sure?"""
text39908;"""Because you're the one who'll need protection soon, not her."""
text39909;"""She flung off, walked up the porch, and stopped at the door."""
text39910;"""Will you open it? Or do I have to get back the same way as before?"""
text39911;"""I forgot my keys, too…"""
text39912;"""Did you also forget your brain?"""
text39913;"""…"""
text39914;"""We had to use the back entrance again."""
text39915;"""When we finally found ourselves inside the house, I asked Kagome:"""
text39916;"""How did you even found out about the hole in the fence?"""
text39917;"""I was looking for escape routes."""
text39918;"""Sensible."""
text39919;"""Although Kagome hardly needed my approval."""
text39920;"""If you don't mind, I'll go to bed."""
text39921;"""She yawned and quickly wiped the tears that swelled in the corners of her eyes."""
text39922;"""Wait…"""
text39923;"""Is there anything else, Niko-san?"""
text39924;"""Well, yes, actually… After all that happened… Are you planning to just go to bed?"""
text39925;"""Do you have any other suggestions?"""
text39926;"""We should at least talk things through…"""
text39927;"""Talk what through, Niko-san? You, apparently, have already come to your conclusions."""
text39928;"""I'm a dangerous criminal, possibly a mentally unstable one. And I belong in a prison or a madhouse."""
text39929;"""But if you aren't going to send me there immediately, I'd prefer to have a good night's sleep first."""
text39930;"""How can you just…"""
text39931;"""I desperately wanted to say something, to explain that I didn't agree with what she was doing."""
text39932;"""But it was all pointless — we either accept someone for who they are or fail in our endless attempts to change them to fit our image of what's <i>right</i>."""
text39933;"""And that feeling of primal misunderstanding — looking into the eyes of another person and seeing genuine confusion in them… <w>When everything is so simple!"""
text39934;"""Here, look, I'm explaining it to you, what's so difficult? <w>Do it this way and not that other way."""
text39935;"""And you get the same cold stare in response, with a mixture of pity and contempt."""
text39936;"""Niko-san, you told me you couldn't do anything other than what you did. Neither could I."""
text39937;"""But I'm at least worried about what happens next!"""
text39938;"""I shouted, completely losing control over my emotions."""
text39939;"""I'm worried, too, but I understand I have no control over it anymore."""
text39940;"""She responded calmly."""
text39941;"""We did what we did. You would've liked me not to kidnap Kobayashi. And would've liked you not to release her."""
text39942;"""In a world where everyone desires something different, someone is bound to suffer."""
text39943;"""It doesn't look like you're suffering."""
text39944;"""I smirked, trying to hurt her, but Kagome remained emotionless."""
text39945;"""Fine! If you're talking about me… I didn't do anything!"""
text39946;"""But suddenly I felt cold and unbearably tired."""
text39947;"""I'm not the one to judge you although I admit I wasn't happy about your decision."""
text39948;"""You aren't — but who is?"""
text39949;"""She only shrugged in response."""
text39950;"""Why do I feel like you're trying to sign me up for your crusade?"""
text39951;"""Niko-san, don't take this the wrong way, but I don't think it's me you should be worried about right now."""
text39952;"""What do you mean?"""
text39953;"""I don't think I'm in any danger."""
text39954;"""Is that so?"""
text39955;"""I laughed stupidly, but Kagome, apparently, was serious."""
text39956;"""Goodnight, Niko-san."""
text39957;"""She finished the conversation and walked to her room."""
text39958;"""I no longer felt safe in my own house. Moreover, it seemed that even the walls had become unfamiliar to me once Kagome started living here."""
text39959;"""And it wasn't even about Ellie's kidnapping."""
text39960;"""What scared me wasn't that Kagome was capable of cruelty, perhaps even murder — I didn't think about it."""
text39961;"""Cold, grim resolve and iron will — that's what really was making me tremble."""
text39962;"""She wasn't afraid of the devil, God, or Kobayashi Jun."""
text39963;"""Even now, in the face of imminent danger, Kagome remained confident and dignified."""
text39964;"""That evoked respect bordering on fear."""
text39965;"""There I was, feeling like an observer of my own life, and there she was — confidently holding the reins of her destiny."""
text39966;"""Yes, I found it hard to agree with her methods, but strong people always attract others, even if they don't always act in accordance with conventional morality."""
text39967;"""With these thoughts, I went to bed."""
text39968;"""My exhaustion was making itself known, even though just half an hour ago it had seemed that I wouldn't be able to sleep until morning."""
text39969;"""…"""
text39970;"""I was drowning in my dream, desperately wheeling my arms, only sinking deeper under the water."""
text39971;"""I couldn't breath, the asphyxiation growing so bad that my lungs were about to turn themselves inside out in search of oxygen."""
text39972;"""And then I heard a voice from somewhere:"""
text39973;"""Get up!"""
text39974;"""It was a rough and a strangely familiar voice."""
text39975;"""I opened my eyes, and Kagemaru's enormous face occupied my entire field of vision."""
text39976;"""Don't even think about screaming!"""
text39977;"""He growled, grabbed me by the shoulders and lifted me as easily as if I were a bag of rice."""
text39978;"""What…"""
text39979;"""I didn't have the time to be scared, or even understand what was happening."""
text39980;"""Like you don't know, son of a bitch! Get up! We're going for a ride!"""
text39981;"""He grabbed the trousers hanging on a wall hook and threw them at me."""
text39982;"""Ellie…"""
