text3205;"""Get up!"""
text3293;"""It was a typical morning for this part of Tokyo, nothing <i>suspicious</i> about it."""
text3294;"""Surely that was just her imagination yesterday."""
text3295;"""Although, the notes, the call... <w>I suddenly felt uneasy."""
text3296;"""Shall we go?"""
text3297;"""Himitsu stepped out of the gates of her house in a clean, dry uniform."""
text3298;"""Huh, were we given multiple sets?"""
text3299;"""Of course!"""
text3300;"""So I have a spare too?"""
text3301;"""Of course you do, it's in the closet!"""
text3302;"""I wanted to ask which closet she meant, but the words never left my mouth, and I felt an unbearable shame about my behavior today."""
text3303;"""And the way I treated her in general."""
text3304;"""..."""
text3305;"""And here's that ramen place!"""
text3306;"""We stopped near my favorite restaurant."""
text3307;"""Hmmm..."""
text3308;"""Himitsu said, clearly not interested."""
text3309;"""Want to go there sometime?"""
text3310;"""Niko-kun, how many times have I told you?!"""
text3311;"""Well, it's just that you're just always cooking, and this is... for a change..."""
text3312;"""There were so many thoughts swirling in my head the entire way, so many words sat at the tip of my tongue, and now I was mumbling something unintelligible."""
text3313;"""Would that be a date?"""
text3314;"""She asked snarkily."""
text3315;"""Well... Yeah, I guess."""
text3316;"""It only made things worse: Himitsu blushed and lowered her head so much it seemed like she was apologizing."""
text3317;"""Fine, some time..."""
text3318;"""Okay."""
text3319;"""I reached the school almost in speed walk."""
text3320;"""Himitsu could barely keep up with me."""
text3321;"""The class was even less crowded than usual."""
text3322;"""Which came as no surprise — it was Friday, after all."""
text3323;"""But then, what was <i>I</i> doing here…?"""
text3324;"""Hi!"""
text3325;"""At least Kyosuke was right on cue."""
text3326;"""Hey there, I guess."""
text3327;"""You look all gloomy early in the morning. Everything alright?"""
text3328;"""Couldn't be better."""
text3329;"""I quipped and glanced around the class. <w>Catherine's desk was empty."""
text3330;"""Since the start of the morning, Himitsu was leading my thoughts away from her, either intentionally or unintentionally."""
text3331;"""But yesterday's argument and all of its details were still fresh before my mind's eye."""
text3332;"""And now, of all times, it seemed somehow especially important, like a battle between two terrible monsters from Greek mythology."""
text3333;"""Have you seen Catherine today?"""
text3334;"""No, why?"""
text3335;"""No reason, I'm just asking."""
text3336;"""<i>Just</i> asking, huh?"""
text3337;"""A disgusting smile spread from one of his ears to the other."""
text3338;"""Yeah, exactly."""
text3339;"""I was trying not to react to the provocation."""
text3340;"""Nick, we never talked about it, and it's been four days already!"""
text3341;"""Nothing to talk about."""
text3342;"""I was starting to boil up inside but couldn't let another snap like yesterday's happen."""
text3343;"""There's nothing to talk about because I know as much as you do."""
text3344;"""Okay, but if you need anything..."""
text3345;"""Of course, I know where to go!"""
text3346;"""Certainly not to him."""
text3347;"""I stood up and approached Michael who, as custom had it, was reading a book."""
text3348;"""Hey."""
text3349;"""Remembering yesterday's incident, I tried to look as friendly as possible. <w>But still not too friendly."""
text3350;"""He raised his head and gave me a slight nod."""
text3351;"""How's it going?"""
text3352;"""Depends on how you look at it."""
text3353;"""And how should I look at it?"""
text3354;"""Depends on what you mean."""
text3355;"""Kyosuke's anime philosophy wasn't exactly fun, but Michael's pretentious pseudo-Buddhism would drive anyone mad."""
text3356;"""Alright, I see you're in no mood to talk. I wanted to ask if you've seen Catherine"""
text3357;"""No."""
text3358;"""I see, thanks."""
text3359;"""There was no point in continuing the conversation."""
text3360;"""Of course, Michael wouldn't bombard me with questions, but he also didn't need to — he had other ways to dig into people's souls."""
text3361;"""..."""
text3362;"""I asked several more classmates to no result."""
text3363;"""My vain attempts must've seemed strange from outside, but I didn't care."""
text3364;"""And everyone had long learned they could expect anything from me."""
text3365;"""But the thought of Catherine was haunting me."""
text3366;"""Because knowing her… <w>Left without a farewell. <w>Returned without a warning."""
text3367;"""What if yesterday's fight with Himitsu was the last straw for her?"""
text3368;"""Naturally, she had to stay in Japan, but changing schools wasn't out of the question!"""
text3369;"""And I didn't even know where she lived!"""
text3370;"""There was the possibility that she and her mother had returned to their old apartment, but I always thought there were no such happy coincidences in real life."""
text3371;"""But the school had to have information about her, home address included."""
text3372;"""Which meant I could try looking in the teachers' room."""
text3373;"""I'd been there many times and had a vague idea of where things were kept."""
text3374;"""On the other hand, it was the very peak of the school day — there was a high risk of being caught."""
text3375;"""And there was no guarantee I'd be able to find her personal file among the piles of paper."""
text3376;"""I was shuffling about stupidly, unable to make a decision."""
text3377;"""Meanwhile, there were just five minutes left until the bell."""
text3378;"""Go to the teachers' room"""
text3379;"""Do nothing"""
text3380;"""Ah, screw it, let's do it!"""
text3381;"""..."""
text3382;"""I walked quickly, not running so as not to attract unnecessary attention, and 30 seconds later reached the teachers' room."""
text3383;"""I listened carefully. <w>It was quiet inside."""
text3384;"""Slowly, I gripped the handle, and..."""
text3385;"""Anokhin-kun!"""
text3386;"""A familiar voice sent shivers down my spine."""
text3387;"""Kiyama-sensei! It's so nice to see you!"""
text3388;"""The man glared at me with undisguised annoyance."""
text3389;"""Anokhin-kun, what are you, so to say, fiddling around here for?"""
text3390;"""Kiyama-sensei, how could you! I just wanted to drop by... to ask..."""
text3391;"""The old man kept looking intently into my eyes, clearly expecting some kind of a plausible explanation."""
text3392;"""I think you were just eavesdropping."""
text3393;"""How could you say something like that?! Eavesdrop, me? Never!"""
text3394;"""Anokhin-kun, stop playing the fool. Tell me what you want."""
text3395;"""In the end, my plan failed spectacularly."""
text3396;"""But why couldn't I just ask him?"""
text3397;"""It was a stupid idea, but no more so than to just stand there, pretending to be an idiot."""
text3398;"""To be honest, Kiyama-sensei, you're right — I came here for a reason..."""
text3399;"""I let out a sigh, my head cast down."""
text3400;"""Really now? And what is it?"""
text3401;"""It's about Catherine Winters."""
text3402;"""What about her?"""
text3403;"""The Principal seemed to have realized something; his eyebrows soared up, he even took half a step forward."""
text3404;"""Don't tell me you've drawn her into your shameful, antisocial behavior!"""
text3405;"""No, I didn't..."""
text3406;"""I may tolerate you here only because I don't have a formal reason to expel you, but Miss Winters... She is an exemplary student with a bright future! We are all very happy to see her return to our school!"""
text3407;"""Kiyama-sensei..."""
text3408;"""But the old man had already gotten worked up and stopped paying attention to me, as if making a speech from a platform in front of a crowd of students."""
text3409;"""Of course, it's regrettable that you have no one to set you on the right path, to properly guide you, but that doesn't give you the right to pervert the other students!"""
text3410;"""Kiyama-sensei..."""
text3411;"""I repeated, louder."""
text3412;"""Your life is your responsibility, but it would be criminal to derail someone else's future..."""
text3413;"""Kiyama-sensei!"""
text3414;"""I almost shouted."""
text3415;"""To derail Miss Winters' future, I'd need to find her first! She's not at school today."""
text3416;"""Oh, is that so..."""
text3417;"""It seemed like the principal had managed to bring himself back to reality."""
text3418;"""And I wanted to learn her current address in Tokyo."""
text3419;"""You do understand that we cannot disclose students' personal information, don't you, Anokhin-kun?"""
text3420;"""What's so <i>personal</i> about it? What if I want to, say, bring her some homework?"""
text3421;"""Kiyama-sensei frowned and thought about it — my question clearly puzzled him."""
text3422;"""In the old principal's worldview, everything was neatly organized with a truly Japanese accuracy and meticulousness."""
text3423;"""He didn't understand and didn't accept anything that was outside the borders of this view, and became bewildered when anything within it didn't work as intended."""
text3424;"""To put it simply, a classmate could very well bring Catherine her homework."""
text3425;"""And to do that, they would obviously need to know her address."""
text3426;"""But to give it to me would mean to bring upon himself a shame incompatible with the way of a true samurai."""
text3427;"""Anokhin-kun, I'm glad you are..."""
text3428;"""Now he found it much harder to choose the right the words — the fire of his former tone had all but died out..."""
text3429;"""I mean to say you shouldn't be worrying about the academic performance of other students, you should instead watch your own."""
text3430;"""What does this have to do with my performance in the first place?"""
text3431;"""He was clearly about to say something else, but at that moment, the bell rang. <w>The principal let out a sigh of relief and said in conclusion:"""
text3432;"""I hope we're done here?"""
text3433;"""Yeah, sure are..."""
text3434;"""I grumbled under my breath, heading to class."""
text3435;"""No, it was a stupid idea after all!"""
text3436;"""No one would give me her address, and hoping for the teachers' room to be empty was even more stupid!"""
text3437;"""I simply went to wander the school, soon ending up in the cafeteria."""
text3438;"""The bell had already rung, so there was no reason to hurry to class."""
text3439;"""To kill some time, I bought a cup of green tea and a jelly bun."""
text3440;"""The cafeteria was empty except for one table, a girl sitting behind it."""
text3441;"""Looking carefully, I recognized Saya-chan — Himitsu's classmate and best friend."""
text3442;"""Any company's better than none."""
text3443;"""Hey there, you skipping too?"""
text3444;"""I sat down across the table from her, lazily sprawling myself on the chair."""
text3445;"""Anokhin-san..."""
text3446;"""Just call me Nick!"""
text3447;"""I flashed her a disarming smile, but Saya seemed unaffected."""
text3448;"""We've got physical education now, and I strained my leg recently. What about you, why are you here while everyone else is studying?"""
text3449;"""Relax, I told you I'm skipping."""
text3450;"""Typical..."""
text3451;"""Her blatant contempt was fighting against the code of conduct that demanded unconditional respect for those older than her. <w>Even if I was only older by a year."""
text3452;"""Well, thinking about it, she almost always treated me this way."""
text3453;"""And the reason for that was Himitsu. <w>Saya was convinced I treated her badly, didn't respect and ignored her feelings."""
text3454;"""Unfortunately, she was mostly right."""
text3455;"""Oh come on, don't start again! How's Himitsu doing, by the way?"""
text3456;"""Are you really interested?"""
text3457;"""No, of course not, I only just saw her this morning. But what else am I supposed to say when you meet everything coming out of my mouth at knife point?"""
text3458;"""It's just your imagination."""
text3459;"""No it's not! You're just convinced everyone should act exactly to your standards!"""
text3460;"""That'd be nice."""
text3461;"""She grinned."""
text3462;"""Okay, I see you're in no mood to talk. I guess I'll go then..."""
text3463;"""Why did you even come in the first place? To fight?"""
text3464;"""I was already about to stand up but in the end decided to achieve victory in this stupid argument."""
text3465;"""No, goddammit, to pick on you! Everyone else is studying, there's no one else around."""
text3466;"""No one at all?"""
text3467;"""Yes, no one at all. Don't be so full of yourself."""
text3468;"""I just..."""
text3469;"""You're just convinced you're right! So typical..."""
text3470;"""I mockingly imitated her."""
text3471;"""Wow, Himitsu's really lucky to have you..."""
text3472;"""Well, she at least has someone. And what about you? Any man would drown in your bile on the very first date."""
text3473;"""Saya's lips trembled — she was about to cry."""
text3474;"""I'd overdone it..."""
text3475;"""Okay, sorry! But you started it."""
text3476;"""Now the girl looked completely miserable."""
text3477;"""After all, she was just a child and had probably never experienced any real difficulties. The theatrical arrogance and self-confidence were protective masks to hide her insecurities."""
text3478;"""Unfortunately, you could hardly say the gods of Japan had gifted Saya with beauty."""
text3479;"""It's sometimes said that girls choose bad-looking friends to appear better in contrast."""
text3480;"""I wasn't sure if Himitsu ever thought about this, but the fact remained..."""
text3481;"""Alright, sorry!"""
text3482;"""Asshole, jerk, idiot!"""
text3483;"""She jumped up from her chair, threw an unfinished bun at me, and ran to the cafeteria's exit."""
text3484;"""Well, so much for conversation..."""
text3485;"""The lessons were running their course, and the class was unusually quiet."""
text3486;"""I didn't learn Catherine's address and neither did I know why she didn't come to school today."""
text3487;"""But how was that strange exactly?"""
text3488;"""She disappeared from my life for one and a half years, and now I was already panicking after a single day?"""
text3489;"""It was an unpleasant feeling, as if nothing had changed after her return."""
text3490;"""I kept agonizing over things and working myself up as I had before. But now I had a real opportunity and reason to talk with her and try to figure out our relationship."""
text3491;"""A real reason for hope..."""
text3492;"""There was no tangible goal ahead, no script for victory or defeat, only gray days that followed each other like gray clouds in the sky on a rainy day."""
text3493;"""I didn't believe everything would be like it was before."""
text3494;"""I didn't believe it would be much worse, because that would simply not be possible."""
text3495;"""I just wanted to be understood! <w>Maybe then something would change!"""
text3496;"""I felt like I was terminally ill, with only 50 or 60 years left to live."""
text3497;"""Maybe in this situation, it would make sense to try and get the most out life, to live every day like the last."""
text3498;"""But almost anyone would throw their hands up. <w>Why strain yourself if the end is inevitable?"""
text3499;"""And only one thing could still change something for me — the belief that everything I did wasn't in vain. <w>That someone else needed all of it as well."""
text3500;"""Maybe, somewhere deep inside, I was waiting for an apology too, even though all hope had long been lost."""
text3501;"""Look, look everyone! <w>I didn't just give up, didn't surrender my arms and cease to struggle!"""
text3502;"""Yes, I lost, but I fought till the very end, I did everything I could!"""
text3503;"""Time and time again it seemed to me that everyone was silently laughing at me. <w>Even Michael, even Kyosuke!"""
text3504;"""Because they knew how much of a loser I was. <w>If only they could understand…"""
text3505;"""The only one who wasn't laughing was Himitsu — because she was always close, she saw everything, from beginning to end."""
text3506;"""She <i>understood</i>, she cared!"""
text3507;"""She was like a nurse on a battlefield, caring for the soldiers fallen but still alive."""
text3508;"""But in that case, why couldn't I love her the same way I loved Catherine...?"""
text3509;"""It was as if some sort of chain shackled my soul — the chain of duty, making you leap into the fight with what remains of your strength, forgetting your real reason for battle."""
text3510;"""Fatherland, religion, love — it's easy to come up with a reason to heroically die, leaving a mark on history or at least in the memory of those close to you."""
text3511;"""It's much harder to come up with a reason to live — when the abstract concepts that flutter like banners over the enemy's stronghold disappear in the hazy smoke of daily existence."""
text3512;"""There was no meaning to my life, I just wanted my accomplishments in battles past recognized."""
text3513;"""Abandoned by everyone, blinded by the faded flashes of the once-great <i>feeling</i>, I wandered aimlessly through the now-empty battlefield."""
text3514;"""I no longer believed Himitsu could save me — why would she need a mortally wounded cripple?"""
text3515;"""Neither did I believe that I would be able to find my weapon by hand and charge forward, to the distant goal. <w>Hoping not even to win but to die, grasping <i>happiness</i> in my last moments."""
text3516;"""Hey Nick, you asleep or something?"""
text3517;"""Hmmm?"""
text3518;"""I was generally prone to daydreams, but they didn't rule my life, remaining on some existential level."""
text3519;"""Otherwise, I would have long lost myself to alcohol or taken my own life."""
text3520;"""I wouldn't normally call you a people person, but today you're just pitiful to look at."""
text3521;"""Well, thank you for the concern!"""
text3522;"""Is this about Catherine?"""
text3523;"""Kyosuke sat on my desk. <w>It creaked and even bent slightly."""
text3524;"""Man, you fatass, are you trying to cause an earthquake?!"""
text3525;"""I pushed him aside and laughed."""
text3526;"""I see you're lively as always."""
text3527;"""Michael approached us."""
text3528;"""Well, I can't speak for Nick..."""
text3529;"""Alright, let's go eat or something!"""
text3530;"""I just wanted to distract myself from my gloomy thoughts for a bit."""
text3531;"""Today we didn't need to elbow our way through the cafeteria — Kyosuke knew every runaround, not to mention the chubby young man had a great relationship with all the women there."""
text3532;"""We were sitting in the middle of the hall like kings, which made my Japanese friend look especially funny."""
text3533;"""All of that slightly improved my mood."""
text3534;"""Did you watch the game yesterday?"""
text3535;"""Michael asked, lazily poking the rice with a spoon."""
text3536;"""You bet! Of course! You know, in the third inning..."""
text3537;"""I never understood the Japanese obsession with baseball."""
text3538;"""Or rather, I couldn't understand the point of the game in the first place."""
text3539;"""Sure, it wasn't hard to remember the rules, but I was always more interested in the more <i>traditional</i> sports — football, basketball, hockey."""
text3540;"""And here were Michael and Kyosuke, USA and Japan, perhaps the only two countries where baseball was popular at all."""
text3541;"""So their conversation was starting to really bore me."""
text3542;"""Guys, give it a rest already."""
text3543;"""You can propose a different topic."""
text3544;"""Michael easily parried."""
text3545;"""What topics could I possibly have..."""
text3546;"""My mood quickly returned to being as bad as it could. <w>My recent agonizing thoughts overwhelmed me again."""
text3547;"""Nick, don't be like that..."""
text3548;"""Kyosuke mumbled sympathetically."""
text3549;"""I agree, you need to keep thinking positively in any situation."""
text3550;"""I was morally exhausted, tired of all these thoughts, and didn't have any strength left to get angry at them."""
text3551;"""Like you'd understand!"""
text3552;"""Sometimes, simple support is enough."""
text3553;"""Yes, Nick, we're your friends after all!"""
text3554;"""Guys, it's not so simple..."""
text3555;"""Psychologists say you can't keep everything inside."""
text3556;"""Kyosuke said didactically."""
text3557;"""I don't see any psychologists around here..."""
text3558;"""Sometimes you can get it off your chest with someone you're close with."""
text3559;"""Michael looked as imperturbable as ever."""
text3560;"""Of course, there was nothing strange in my friends' desire to help, but I couldn't get rid of the idea that they had goals of their own in mind."""
text3561;"""With Kyosuke it was obvious — curiosity."""
text3562;"""He was like a sucker fish, feeding on hearsay and rumors about the lives of others."""
text3563;"""He even had something like an information network in the school!"""
text3564;"""I liked to believe said network wouldn't start gossiping about my life as well."""
text3565;"""But although it was pretty simple with Kyosuke, Michael on the other hand..."""
text3566;"""He was diligently pretending to be interested in my situation \""just because\"", but somehow, I felt like that wasn't the case..."""
text3567;"""Well, let's say you don't exactly know..."""
text3568;"""It took me a bit to find the right words"""
text3569;"""... the backstory."""
text3570;"""Maybe."""
text3571;"""He responded coldly."""
text3572;"""We'll tell you then, not a big..."""
text3573;"""It took just a short glance from me for Kyosuke to hush up."""
text3574;"""It's not a secret or anything... It's just..."""
text3575;"""But really, what did I have to hide?"""
text3576;"""Our past relationship with Catherine wasn't a secret. <w>In reality, many people in the school knew about it."""
text3577;"""And I was acting as if I wanted to preserve something sacred, something only I, and maybe also Katya, knew..."""
text3578;"""It was stupid, but at that moment I couldn't act any other way."""
text3579;"""..."""
text3580;"""The unpleasant conversation somehow died out, and we finished the lunch in relative peace."""
text3581;"""The lessons dragged on at a painfully slow pace, but at long last the final bell rang."""
text3582;"""I was slowly packing the books when Himitsu materialized near my chair as if having jumped out of <note=note19>transwarp</note>."""
text3583;"""Niko-kun, let's go home together?"""
text3584;"""She gave me a cute smile."""
text3585;"""As cute as always, and I'd say much cuter than in the past several days."""
text3586;"""I had nothing against going home, but I couldn't get over the fact that I'd never found out where Catherine had gone."""
text3587;"""But what could I do?"""
text3588;"""There seemed to be only two logical solutions: to go where she'd been living before or to try and find her mother."""
text3589;"""On one hand, there was a certain chance they'd returned to the same flat they'd been using before."""
text3590;"""Why not? <w>It was most probably an ambassadorial apartment."""
text3591;"""On the other, her mother was a relatively famous person, so in theory it'd be easy to find her."""
text3592;"""But at the same time, the nasty voice of reason in my head was whispering that Catherine had only missed school for one day and that it was too early to panic..."""
text3593;"""Hey, hello! Earth to Niko-kun?"""
text3594;"""Yeah, sorry, I was daydreaming."""
text3595;"""Check Catherine's old apartment"""
text3596;"""Try to find her mother"""
text3597;"""Go home with Himitsu"""
text3598;"""Still, no matter how I looked at it, it was better to start at the beginning."""
text3599;"""Catherine had been living in that apartment with her mother for a long time, why wouldn't they go back there?"""
text3600;"""You know, I've got some things to do today..."""
text3601;"""And another stupid, thoughtless lie!"""
text3602;"""Well, no, not really. I just promised to meet with a friend."""
text3603;"""A stupid, slightly thoughtful lie. <w>Himitsu looked at me like she was about to say I have no friends."""
text3604;"""Alright..."""
text3605;"""Of course, she wouldn't say something like that, and I knew it."""
text3606;"""It was a fail-free excuse, just barely good enough to pass. <w>I just had to make sure not to use it too often."""
text3607;"""Wanna come by later today?"""
text3608;"""I've got a lot of homework."""
text3609;"""Himitsu dropped in response, trying to sound uninterested."""
text3610;"""Maybe it would work with someone else; not with me."""
text3611;"""Well, alright... Till tomorrow then."""
text3612;"""Till tomorrow."""
text3613;"""She didn't even smile..."""
text3614;"""..."""
text3615;"""I felt guilty over Himitsu but tried as hard as I could to distract myself from these thoughts."""
text3616;"""The Winters family's old apartment was located in the very center of Tokyo."""
text3617;"""I was always attracted by the local rhythm of life, all the neon lights at night, the abundance of various offices and shops."""
text3618;"""It contrasted nicely with the district where Himitsu and I lived."""
text3619;"""Hundreds of thousands of yen for a square meter, millions of yen flowing through the accounts of big companies with offices on the top floors of gigantic skyscrapers, a couple thousand yen in my pocket..."""
text3620;"""It was like comparing a poor fisherman from <note=note20>Hokkaido</note> with a powerful shogun from Honshu."""
text3621;"""But I wasn't jealous of the wealth of others and didn't strive to get rich myself."""
text3622;"""I just wanted to see the world and show it what I was capable of."""
text3623;"""In some sense, I was even glad I didn't have to chase after money 24 hours a day, forgetting to sleep and rest."""
text3624;"""Although that wasn't because of any <i>high morals</i>, which I didn't have, but probably because I didnt need much to be satisfied, just the bare minimum."""
text3625;"""I never wondered if I'd be happier having an apartment in a penthouse, a yacht, or a personal airplane."""
text3626;"""Given the choice, I would most likely ask a djinn for something spiritual, not mountains of gold and toilets of platinum."""
text3627;"""Seized by these thoughts, I didn't even notice when I reached Catherine's old place."""
text3628;"""..."""
text3629;"""Of course, her apartment was occupied by other people — something I should've expected."""
text3630;"""After all, it belonged to the embassy and was given to other workers, while Catherine and her mother were offered housing somewhere else."""
text3631;"""Well, at least I tried..."""
text3632;"""I was aimlessly wandering through the city, ogling the luxurious storefronts and their exorbitant prices."""
text3633;"""Maybe earlier I'd exaggerated a little about the platinum toilets. <w>Given some extra cash, I would've definitely bought some of the things on sale there."""
text3634;"""For the last half an hour, it seemed like someone was tracing my steps."""
text3635;"""Not properly following me — the attempts of the pursuer felt too amateurish."""
text3636;"""Finally, I got tired of it, dove into an alleyway, and hid myself."""
text3637;"""And there he was, the evildoer!"""
text3638;"""I grabbed him by the hand, dragged him out of the crowd..."""
text3639;"""And found in front of myself a cute, surprised face, two red braids, and pouting lips!"""
text3640;"""And how long exactly have you been following me?"""
text3641;"""Since you left school!"""
text3642;"""She answered resentfully."""
text3643;"""Why?"""
text3644;"""What would you do in my place? You said you were going to meet a friend, and instead..."""
text3645;"""\""Instead\"" what?"""
text3646;"""Himitsu bit her lip in frustration but managed to get a hold of herself and say:"""
text3647;"""Didn't Katty-chan live here before?"""
text3648;"""Well, let's say she did..."""
text3649;"""And you said... Is she there now too?"""
text3650;"""No."""
text3651;"""I gave a short answer and, not letting Himitsu get a single word in, continued:"""
text3652;"""Let's go home?"""
text3653;"""Niko-kun, wait..."""
text3654;"""..."""
text3655;"""It would probably have been easier to take the subway, but for some reason, I wanted to go for a walk."""
text3656;"""Himitsu was dragging herself along, everything about her implying I'd better explain myself."""
text3657;"""And I gladly would, if only I knew what to say..."""
text3658;"""As it stood, however, I just wanted to pay her back, in a sense, by spending time together."""
text3659;"""Even simply wandering the streets."""
text3660;"""You shouldn't go looking for schemes where there are none."""
text3661;"""I said, stopping at a big storefront."""
text3662;"""What do you mean?"""
text3663;"""I just wanted to talk, to find out why she returned, why she transferred to our school again. I have the right, don't I?"""
text3664;"""Mhm..."""
text3665;"""Himitsu quietly mumbled in response and lowered her eyes."""
text3666;"""It doesn't mean... It doesn't really mean anything. And you shouldn't follow me, everything will be alright!"""
text3667;"""Although I knew perfectly well that Himitsu was following me for different reasons entirely."""
text3668;"""I could have also said, \""Don't be jealous!\""."""
text3669;"""Maybe I should have done something like that? <w>Just to calm her down."""
text3670;"""Not to lie, no, just to leave the hardest part for later, for when I would have finally sorted out my relationship with Catherine."""
text3671;"""But deep inside I knew it would probably never happen; to sort out a relationship, you have to start with yourself."""
text3672;"""I don't believe you!"""
text3673;"""She suddenly said with resolve."""
text3674;"""It'll all end up like year and a half ago again — you'll suffer!"""
text3675;"""Himitsu, wait..."""
text3676;"""Don't you understand that's how it'll always be with her?! She's incapable of loving anyone but herself! She just likes to hurt others!"""
text3677;"""Calm down..."""
text3678;"""You just can't understand! How can you stand someone treating you like that?! It's not even love anymore, it's masochism!"""
text3679;"""Himitsu, enough already!"""
text3680;"""If I were in her place..."""
text3681;"""Tokyo's central business district was noisy, but a hysteric in the middle of the street was too much even for this place."""
text3682;"""People looked at us in alarm, and even I started to feel uncomfortable."""
text3683;"""Let's talk about this at home!"""
text3684;"""I don't want to, I won't! Talking is useless! What for? For you to nod your head again and then, in the end, do what you want and hurt me?!"""
text3685;"""The expression on her face shifted to one of deep resentment; her lips trembled; the first, most bitter, tears started swelling at the corners of her eyes."""
text3686;"""I can't keep going like this! If not for her, if only it wasn't for her, it would all be like before! Why does she simply take what she has no right to? I hate it, I hate it!"""
text3687;"""At that moment I forgot all about Catherine, I had to calm her down!"""
text3688;"""It wasn't even about Katya; poor Himitsu just didn't deserve to be treated like this."""
