text14227;"""Sleep well?"""
text14424;"""Sure, I couldn't ignore the information in the documents Himitsu had brought, but for some reason my attitude towards Sheryl Winters didn't change much."""
text14425;"""Maybe because those were matters of the past, and Catherine was still alive."""
text14426;"""I sat back down on the sofa and stared at the crumpled folder."""
text14427;"""I didn't know how <i>integrated</i> the CIA, Japanese intelligence, and Kobayashi Corporation were, but thinking about it, it was pretty strange that Ito ended up with documents belonging to an American intelligence agency."""
text14428;"""I doubted he'd get a note of gratitude for it…"""
text14429;"""Then why risk so much for me?"""
text14430;"""Mrs Winters returned to the living room with a cup of coffee in her hands."""
text14431;"""Everyone drinks coffee… Litres, even gallons of it! Five, ten cups a day…"""
text14432;"""I could never understand what people see in it. Just another drug if you ask me."""
text14433;"""She spent some time looking at me like at an idiot,<seq mrs_hands1> then took a sip and sighed."""
text14434;"""Whatever it is you're thinking, Catherine had nothing to do with anything."""
text14435;"""She's not connected to my work and had no idea what I had to do."""
text14436;"""…"""
text14437;"""I kept silent. Apparently, Mrs Winters misinterpreted my reaction and, for some reason, rushed to make excuses."""
text14438;"""I don't personally care what you think, but since you're so important to Catherine…"""
text14439;"""You can blame me if you want — go ahead! You're not the first and won't be the last."""
text14440;"""Are you actually the one to blame, Mrs Winters?"""
text14441;"""I asked carefully."""
text14442;"""Nikolai, your parents were spies! Double agents, if you will. You can't protect national security and keep your hands clean!"""
text14443;"""So you're the one who killed them?"""
text14444;"""Will it make you feel better if you accuse me of all the mortal sins?"""
text14445;"""It would make me feel better if I knew the truth."""
text14446;"""Everyone has their own truth. Everyone believes that what they're doing is right. It's all about your point of view."""
text14447;"""Mrs Winters, this is all just sophistry."""
text14448;"""I was trying to figure out what I was feeling having read Himitsu's documents."""
text14449;"""But I found no resonance in my heart — it seemed that I had long known the terrible truth."""
text14450;"""I'm a diplomat, sophistry is my job."""
text14451;"""She suddenly smiled."""
text14452;"""You're not afraid at all."""
text14453;"""What would I be afraid of?"""
text14454;"""The two of us are here alone, Japanese intelligence is already looking for me, and after what I've just found out…"""
text14455;"""Nikolai, watch yourself."""
text14456;"""Catherine's mother smirked with contempt."""
text14457;"""She might've been a woman, but Michael had been quite successful in giving my self image a reality check."""
text14458;"""What if she had a gun…"""
text14459;"""You aren't even denying it anymore!"""
text14460;"""Would it help? You've already decided everything for yourself, what's the point in trying to change your mind?"""
text14461;"""Then I have nothing more to do here!"""
text14462;"""I'm not keeping you."""
text14463;"""When she put it that way, I actually felt no desire to leave."""
text14464;"""Because beyond the front door lay the unknown, and in this living room were only sins of the past that could no longer be changed."""
text14465;"""Mrs Winters, don't you think that you owe me at least something after everything that's happened?"""
text14466;"""If you hadn't taken Catherine away that time, by now you could've been a grandmother."""
text14467;"""We had barely discussed Catherine's pregnancy — it was hard for me to talk about it, and as for her mother…"""
text14468;"""Oh gosh, now wouldn't that be just wonderful!"""
text14469;"""So you don't care that she lost the child?"""
text14470;"""Nikolai, what's the point in discussing this right now?"""
text14471;"""Do you really think not talking about the problem will solve it?"""
text14472;"""I don't have any problems."""
text14473;"""Apart from Catherine's disappearance, your conflict with Ito, and however many other things that exist but I don't know about."""
text14474;"""I grinned maliciously."""
text14475;"""I thought you were about to leave, Nikolai."""
text14476;"""Are you kicking me out?"""
text14477;"""Apparently I struck a nerve."""
text14478;"""You kicked yourself out when you let Ito's girl in!"""
text14479;"""Okay, and what next?"""
text14480;"""I don't know what you're going to do next. It's none of my concern anymore. Not that it ever was."""
text14481;"""I can't go back home, can I?"""
text14482;"""I think Ito needs you alive. But not necessarily sound."""
text14483;"""Thank for the encouragement."""
text14484;"""Honestly, it seemed like I had gone too far, and it would've been safer to stay here."""
text14485;"""Are you going to show me the door just for telling the truth?"""
text14486;"""How fortunate that I don't need to explain my decisions to you."""
text14487;"""It didn't look like there was much I could do — angering Sheryl Winters wasn't the best idea."""
text14488;"""Well then, goodbye."""
text14489;"""I said and walked out of the apartment."""
text14490;"""…"""
text14491;"""So, now every bridge had been burned and I had no way back."""
text14492;"""However, I wasn't at all blaming myself for what I'd done — Catherine's mother wasn't particularly eager to tell me the truth anyway."""
text14493;"""And would keep looking for Katya even without me."""
text14494;"""I wouldn't be able to help anyway."""
text14495;"""But just sitting in the dark and hoping for others to do something was unbearable."""
text14496;"""Besides, I had nowhere else to go!"""
text14497;"""I called Michael from a telephone box."""
text14498;"""This time, he picked up."""
text14499;"""Hello?"""
text14500;"""The line could be tapped, so I was trying to be careful."""
text14501;"""It's me. Everything went to hell! I can't go home…"""
text14502;"""Okay. Tonight, at ten. Come to the place where you used to meet with Catherine."""
text14503;"""Extremely fortunate of him to remember that. <w>And very good I'd told him about it that time."""
text14504;"""Understood."""
text14505;"""I hung up and ran away from the telephone box as quickly as possible, as if the five seconds our conversation lasted for were enough for the Japanese to locate me."""
text14506;"""…"""
text14507;"""There was still too much time left until ten, and it seemed to drag on terribly slowly."""
text14508;"""It felt as if I'd walked half of Tokyo, and the minute hand was yet to go a full circle once."""
text14509;"""It was surprising how quickly my friends became foes and then friends again."""
text14510;"""Himitsu, Michael, even Sheryl Winters."""
text14511;"""I was stumbling from one person and to another, looking for help, support, or at least understanding."""
text14512;"""Did I really not care about <i>who</i> exactly they were, as long as they were telling me what I wanted to hear?"""
text14513;"""Are there principles more important than life?"""
text14514;"""I could be mad at Michael or Mrs Winters as much as I wanted, but if they could help me…"""
text14515;"""But I still let Himitsu in and heard her out — and this got me into a conflict with Catherine's mother."""
text14516;"""So, was my connection with Himitsu stronger than my concern for Katya?"""
text14517;"""I knew perfectly well how it could end!"""
text14518;"""The first day of October in Tokyo turned out to be surprisingly autumn-like — not very cold, but cloudy and damp."""
text14519;"""The air was filled with that particular aroma of wet leaves that can only be felt for a couple of weeks of the year."""
text14520;"""Soon, the rains would wash away the remaining smells of summer, the night frost would take away the remaining warmth of the earth, and the autumn of Pushkin would give place to the one of Tyutchev."""
text14521;"""I spent a good hour hiding behind a tree, having chosen a spot with a good view on the footpath."""
text14522;"""These precautions were probably excessive, but I'd better be safe than sorry."""
text14523;"""At ten and change, I saw a lonely silhouette in the dim light of the lanterns — it was Michael."""
text14524;"""He was walking slowly, as if on his evening walk."""
text14525;"""You got a tail?"""
text14526;"""When he came closer, I stepped out from behind the tree."""
text14527;"""Michael jumped."""
text14528;"""Don't think so."""
text14529;"""You don't think so, or you don't have it?"""
text14530;"""I don't work for the CIA so I can't be exactly sure."""
text14531;"""Well, some do…"""
text14532;"""I briefly told him about Catherine's mother, her real job, and the things that had happened today and yesterday."""
text14533;"""You didn't know?"""
text14534;"""No."""
text14535;"""Michael didn't respond immediately, but didn't look particularly surprised either."""
text14536;"""And how's it going with Ellie?"""
text14537;"""Seems like they're finally taking us seriously."""
text14538;"""That <i>\""us\""</i> was so grating that I unconsciously winced, like I'd bitten into a lemon."""
text14539;"""There was something in it like the disgusting little desire to be a part of something bigger than you are."""
text14540;"""Like how a petty thief feels invincible once he's in a gang."""
text14541;"""Really?"""
text14542;"""I got a reply from Kobayashi Jun. He asked for some time to think it through."""
text14543;"""Well isn't that nice and dandy…"""
text14544;"""But that's not the most important part!"""
text14545;"""He suddenly smiled and started talking quickly, stumbling over his words, as if telling me about winning a lottery."""
text14546;"""I found out where they keep Catherine! And we're going to save her!"""
text14547;"""He hoisted a big black handbag I hadn't noticed before over his shoulder."""
text14548;"""Hold on a second!"""
text14549;"""I waved my hands."""
text14550;"""How could you manage to learn where she is just so easily?"""
text14551;"""Nobody said it was easy. But my father also has some leverage!"""
text14552;"""Events I didn't understand kept happening around me."""
text14553;"""Moreover, I was finding it hard to believe that they were actually, really happening at all."""
text14554;"""I thought he was going to blackmail Kobayashi to do whatever it was that he wanted to do. Why would he need Catherine?"""
text14555;"""Well, let's say our interests aligned."""
text14556;"""\""This shit won't end well\"" — was what my mind was telling me."""
text14557;"""But my mental breaks had long since been cut and I was rushing down a slope hoping there wasn't a cliff behind the next bend in the road."""
text14558;"""How very convenient. Alright, I'm all ears."""
text14559;"""Catherine was kept in an abandoned warehouse on the edge of town."""
text14560;"""According to Michael's info, she wasn't heavily guarded, because no one expected guests."""
text14561;"""In the bag there were two black turtlenecks, balaclavas, a crowbar, flashlights, a coil of rope (why?), and even a gas gun."""
text14562;"""I mean, I also think that it's better to be prepared for the worst, but a gun…"""
text14563;"""Mike, what the fuck, how?!"""
text14564;"""Dad keeps it in his desk just in case."""
text14565;"""With every second, whatever it was that was happening to me resembled the reality I was used to less and less."""
text14566;"""But it was still a chance to save Catherine, if a reckless one."""
text14567;"""Okay, and what then?"""
text14568;"""We'll hide at my place — the Corporation and Japanese intelligence don't seem to know I'm involved, so it should be safe there for now."""
text14569;"""<i>We</i> — including me?"""
text14570;"""He frowned for a moment.<seq mi_normal>"""
text14571;"""Of course. But I don't want you to get the wrong idea — I'm helping Catherine, not you."""
text14572;"""I'm trying not to get any ideas at this point."""
text14573;"""You seem to have doubts."""
text14574;"""It's strange that you don't! Your aikido or whatever you learned is one thing, but this…"""
text14575;"""Mike, things won't get better for Catherine if they shoot us there!"""
text14576;"""I can go alone, but we have a better chance of success together."""
text14577;"""Zero multiplied by zero is still zero."""
text14578;"""I grumbled and snatched the turtleneck out of his hands."""
text14579;"""It turned out to be too narrow for my shoulders, and at the same time the sleeves were too long."""
text14580;"""…"""
text14581;"""We got to the place by taxi, having spent the entire trip in silence."""
text14582;"""I was staring out the window the entire time, unable to shake off the feeling that I was doing something wrong."""
text14583;"""Meanwhile, Michael was carefully studying the plan of the area printed on a huge sheet of paper that, unfolded, covered the entire back seat."""
text14584;"""Even though rescuing Catherine was the only thing that mattered to me, our plan appeared to be pure madness."""
text14585;"""It was as if I was walking a plank with the tip of a rapier at my back."""
text14586;"""Down in the water were sharks, behind were a hundred frenzied pirates — whatever choice I made, it was the end."""
text14587;"""But in the first case, there was at least a chance that the sharks had already had breakfast…"""
text14588;"""It seemed that there used to be a factory in this part of Tokyo, but then it was abandoned, and in the dark of the night the area resembled a cemetery."""
text14589;"""A huge industrial cemetery of the upcoming post-industrial era."""
text14590;"""Except for us, there didn't seem to be a soul for kilometers around."""
text14591;"""The moon hid behind the clouds, and silence descended upon us — a silence that couldn't be broken by any sound."""
text14592;"""The silence of a thousand year old tomb beneath a Gothic cathedral, the silence of the dead, a centuries-long quiet able to absorb any sound."""
text14593;"""We walked for about a kilometer until Michael stopped and pointed at a large building overgrown with ivy."""
text14594;"""It was as silent and dark inside as it was outside."""
text14595;"""Are you sure?"""
text14596;"""I whispered to him."""
text14597;"""According to the map, yes."""
text14598;"""He tried to unfold the map again, but I stopped him."""
text14599;"""Okay, and how are we going to get in? I'd guess not through the main gate!"""
text14600;"""Besides, it turned out to be locked shut."""
text14601;"""Michael started thinking, while I came closer and squinted, trying to see anything in the pitch-black night."""
text14602;"""Look!"""
text14603;"""In the wall of the building, I noticed a small door."""
text14604;"""Let's give it a try."""
text14605;"""The door could be slid aside on wheels that had long rusted through and made a loud screech at the slightest push."""
text14606;"""Quiet!"""
text14607;"""Michael hissed at me."""
text14608;"""Unless you've brought some grease with you, I see no other options."""
text14609;"""Wait a minute… Help me!"""
text14610;"""He tried to lift the door on one side."""
text14611;"""I understood his idea and grabbed the other one."""
text14612;"""Together we soon managed to move the door to the side and make a narrow opening, which was, however, big enough to make our way in."""
text14613;"""We were standing, panting, and looking at each other, listening to the silence of the abandoned warehouse."""
text14614;"""Even if there's someone here, doesn't seem like they noticed us."""
text14615;"""Michael nodded."""
text14616;"""Or they're just pretending to lure us into a trap…"""
text14617;"""After a few more moments of hesitation, I squeezed myself through the opening."""
text14618;"""…"""
text14619;"""The inside was even darker than the street, and it took some time for my eyes to adjust."""
text14620;"""Using flashlights didn't seem like a sensible idea, but how else would we search for Catherine in this huge space if we couldn't even see what was under our feet?"""
text14621;"""I took a few careful steps forward and stopped, stumbling on a crate."""
text14622;"""Michael was walking behind me, and, once I stopped moving, bumped into me."""
text14623;"""What is it?"""
text14624;"""It's pitch black in here, can't see a thing!"""
text14625;"""So turn on your flashlight."""
text14626;"""<i>Turn on your flashlight</i>…"""
text14627;"""I mocked him."""
text14628;"""So they'd see us?"""
text14629;"""Nick…?"""
text14630;"""I heard a familiar voice, or rather a whisper."""
text14631;"""Nick, is that you?"""
text14632;"""Forgetting all caution, I threw myself in the direction of the voice and found Katya tied to a massive steel beam."""
text14633;"""I'm here, wait…"""
text14634;"""I tried to untie the rope with my hands but failed."""
text14635;"""Take the knife."""
text14636;"""I turned around, looked at Michael in befuddlement, failing to understand what he wanted of me, but still took the swiss knife he handed me."""
text14637;"""When the rope was cut, Catherine fell upon my neck and broke into sobs."""
text14638;"""Nick, I thought I was going to die! I thought they'd kill me...!"""
text14639;"""There, there…"""
text14640;"""I was trying to calm her down, even though I was shaking all over myself."""
text14641;"""Where are <i>they</i>?"""
text14642;"""I don't know… They come and go… Bring food and water once a day."""
text14643;"""Indeed, next to her there were a few small empty water bottles and food wrappers."""
text14644;"""Let's discuss this later. Right now we need to get out of here before <i>they</i> come back."""
text14645;"""It would be stupid to argue."""
text14646;"""Can you stand?"""
text14647;"""I helped Katya stand and held her up when her legs failed."""
text14648;"""No longer much caring for the noise and the light, we got outside and started walking away from the abandoned warehouse as quickly as we could."""
text14649;"""I had only been to Michael's apartment once or twice before, so the relative neatness of his room made a good impression on me. <w>Especially compared to Kyosuke's dwelling."""
text14650;"""The entire way, I kept thinking that coming here wasn't the best idea, but after seeing Catherine's condition, I knew that healing and regrouping mattered most right now."""
text14651;"""Where is your dad?"""
text14652;"""Katya lay down in bed and put a wet towel on her forehead. I sat down next to her, while Michael sat on the chair in front of the computer."""
text14653;"""He's not going to be home for a couple of days."""
text14654;"""That's not an answer."""
text14655;"""He's… handling some work-related issues."""
text14656;"""Michael glanced at Catherine, hinting that I shouldn't talk about it in her presence."""
text14657;"""I didn't understand why but decided to let it go…"""
text14658;"""Do you feel better?"""
text14659;"""I asked."""
text14660;"""On the way here, Katya was constantly in a half faint, and the driver even refused to take us at first, so Michael had to pay him double."""
text14661;"""It's your goddamn Japan! I wish I'd never see it again!"""
text14662;"""I remembered her mother's words, that Catherine was the one who wanted to come back, and smiled."""
text14663;"""Do you know who kidnapped you?"""
text14664;"""You won't believe it, but they were Japanese!"""
text14665;"""But who exactly — Kobayashi Corporation or Japanese intelligence?"""
text14666;"""They didn't introduce themselves."""
text14667;"""She scoffed."""
text14668;"""I was just coming back home, and right at the entrance to the house somebody put a bag over my head and stuffed me into a car..."""
text14669;"""Catherine shuddered."""
text14670;"""What do they want from me?"""
text14671;"""Not from you — from your mother. I spent the last few days enjoying her company and learned a lot of new things."""
text14672;"""Not that much, to be honest, but enough…"""
text14673;"""Mom… Is she alright?"""
text14674;"""More than alright, I'd say. Even too alright for the situation."""
text14675;"""Nick, you don't think that…"""
text14676;"""Of course I don't!"""
text14677;"""I carefully took her by the hand and managed to catch Michael's annoyed glance."""
text14678;"""There was a lot about him that was making me worry…"""
text14679;"""Well, what exactly did he expect?!"""
text14680;"""But I'm not going to pretend that I understand her."""
text14681;"""Of course, the documents Himitsu had brought changed my opinion about Mrs Winters but this wasn't the time to talk about it."""
text14682;"""In any case, mom will help us!"""
text14683;"""I'd like to think so… Except I wouldn't say we parted ways on friendly terms today."""
text14684;"""Besides, Ito is waiting for me at home… I didn't want to dump it all at you at once…"""
text14685;"""Ito. And Himitsu. Why am I not surprised?"""
text14686;"""Catherine suddenly smirked."""
text14687;"""Well, Himitsu didn't do anything wrong this time. We can even thank her for…"""
text14688;"""I caught myself."""
text14689;"""I mean, Ito has been spying on me for a while anyway…"""
text14690;"""So what are we going to do?"""
text14691;"""Katya gripped my hand tighter."""
text14692;"""I was about to answer, but Michael didn't let me:"""
text14693;"""It would be safer for you two to stay here for the night, and tomorrow I will have to meet my man and hear Kobayashi's response."""
text14694;"""Catherine looked at me, puzzled."""
text14695;"""Michael is working on a clever plan to influence Kobayashi Corporation, you see..."""
text14696;"""I smiled dumbly."""
text14697;"""I am very grateful to you, too."""
text14698;"""Catherine slightly pushed herself up and turned her head towards Michael,<seq ca_head1center> but immediately gasped and fell back onto the pillow."""
text14699;"""You're welcome."""
text14700;"""He replied in a cold and even irritated tone, as if he was accepting a thank you for fulfilling a difficult obligation."""
text14701;"""To be honest, I can't say I expected it. We don't know each other at all…"""
text14702;"""Now it was my turn to clench her hand."""
